#12
w191	_	@orphan
#14
w214	w227	@advcl
w227	_	@ccomp
w234	w227	_override
#64
w1336	_	@conj
#66
w1363	_	@obj
w1365	w1363	@compound:smixut
#93
w1946	_	@ccomp
#106
w2213	w2208	_override
#108
w2254p	w2253
#149
w2979	_	@acl
#158
w3140	w3129
#232
w4793	_	@advmod
#244
w5044	w5046	@cc
w5045	w5046	@case
w5046	w5039	@conj
#250
w5214	_	@obj
#273
w5729	_	@orphan
#289
w6074	_	@xcomp
#297
w6282	_	@dislocated
#320
w6790	w6783	_override
w6797	w6783	_override
#341
w7181	w7185
w7185	w7176	@advcl><_override
#346
w7265	w7267	quoteoverride
#353
w7439	_	@obl
#366
w7703	_	@advcl
#367
w7734	w7742	@dislocated
#384
w8117	w8118
w8118	w8115	@obj
w8119	_	@xcomp
#416
w8697	w8681
w8704	_	@conj
#424
w8857	w8862	quoteoverride
#428
w8966	w8957	@obl
w8967	w8957	@obl
w8969	_	@parataxis
w8970	w8969	@orphan
w8971	w8973
w8973	w8970	@acl:relcl
#444
w9269	_	@parataxis
#468
w9814	w9811
w9817	w9814
#519
w10916	w10903	_override
#533
w11140	w11143
w11146	_	@conj
#547
#w11381	w11373	_override
#551
w11425	_	@csubj
w11428	_	@conj
#552
w11434	_	@advcl
#555
w11475	_	@conj
w11477	w11472
#569
w11732	w11733
w11733	w11729
#570
w11751	_	@conj
#572
w11778	w11787	@advcl><_override
#574
w11828	w11839	@advcl><_override
#587
w12074	w12087	@advcl><_override
w12084	w12074	_override
#589
w12101	w12111	@advcl><_override
#609
w12346	w12353	@advcl><_override
#612
w12390	w12387	_override
#623
w12572	_	@obl
#626
w12622	_	@advcl
#634
w12773	_	@conj
#658
w13245	_	@parataxis
#679
w13651	_	@obj
#694
w13898	_	@orphan
#696
w13962	_	@orphan
#697
w13973	_	@parataxis
w13975	_	@orphan
#708
w14199	_	@orphan
#729
w14634	_	@xcomp
#751
w15023	_	@parataxis
#827
w16673	_	@obl
#855
w17176	w17158	_override><@conj
#857
w17215	w17205	_override><@conj
w17234	w17205	_override><@conj
#874
w17601	w17606	quoteoverride
#879
w17724	_	@advcl
#892
w18025	w18019
#917
w18580	w18571	_override><@advcl
#962
w19525	_	@obl
#989
w20354	w20351	@dislocated
w20355	w20356
w20356	w20354
#1034
w21310	_	@xcomp
#1050
w21600	_	@xcomp
#1051
w21613	_	@dislocated
#1071
w22037	_	@appos
#1102
w22702	_	@appos
#1142
w23572	_	@obl
#1148
w23698	w23691	_override
