#55
w828	_	@parataxis
w830	w828	@orphan
w832	_	_override
#70
w1059	w1054	@obl
#123
w1894	_	@nsubj:outer
#174
w3069	_	@dislocated
#175
w3100	_	@parataxis
#196
w3592	w3589	_override><@ccomp
w3593	_	_override><@parataxis
#203
w3743	w3751	_override
w3751	w3737	_override
#218
w4041	_	@nmod
w4049	_	@nmod
w4055	_	@nmod
w4057	w4035	longlist><@conj><_override
#241
w4483	_	@dislocated
#267
w5510	_	@advcl
#283
w5837	_	_override
w5842	w5829	@advcl
#318
w6601	w6602
w6602	w6583	@conj
#380
w7721	w7719	@xcomp
w7723	w7721	@compound:smixut
#385
w7837	_	@obj
w7840	_	@xcomp
#404
w8189	w8191	quoteoverride
w8191	_	@ccomp
#425
w8426	_	@parataxis
#429
w8541	w8539	@obl
#454
w9109	_	@conj><_override
#455
w9130	w9123	quoteoverride
#461
w9226	_	@nsubj
w9229	_	@obj
#466
w9332	w9349	@obl
#475
w9514	w9539	@dislocated
#480
w9638	w9632	_override
#493
w9865	w9862	@obl
w9866	w9862	@parataxis
#501
w9999	_	@ccomp
#505
w10058	w10047	@appos><_override
#539
w10765	w10758
#540
w10789	_	@parataxis
#545
w10867	w10868
#594
w11886	_	@conj
#597
w11949	w11946
w11952	w11949
#607
w12167	_ @xcomp
w12168	w12167
#612
w12258	w12274	@advcl><_override
#616
w12342	_	@advcl
#617
w12371	_	@xcomp
w12374	w12372	@nmod
#652
w13172	w13184
#654
w13245	w13240
#673
w13624	w13619	_override><@advcl
w13627	w13624	_override
w13631	w13624	_override
#682
w13810	_	@csubj
#693
w14044	_	@obl
#734
w14905	w14909
w14909	_	@advcl
w14912	w14909
#760
w15398	w15397
#770
w15553	_	@obl
#775
w15651	w15650
#785
w15821	_	@dislocated
#787
w15853	w15852
#825
w16475	w16471	_override><@conj
w16481	w16471	_override><@conj
#870
w17086	_	@obj
#893
w17540	w17530	_override
#914
w18012	w18010
#923
w18149	w18147
#937
w18389	w18385	@xcomp
w18395	_	@conj
#942
w18491	_	@conj
#946
w18558	_	@nmod
w18575	w18561	longlist><@conj><_override
w18594	w18561	longlist><@conj><_override
w18614	w18561	longlist><@conj><_override
w18626	w18561	longlist><@conj><_override
w18645	w18561	longlist><@conj><_override
w18664	w18561	longlist><@conj><_override
w18674	w18561	longlist><@conj><_override
w18693	w18561	longlist><@conj><_override
w18712	w18561	longlist><@conj><_override
w18723	w18561	longlist><@conj><_override
w18742	w18561	longlist><@conj><_override
w18761	w18561	longlist><@conj><_override
w18772	w18561	longlist><@conj><_override
w18791	w18561	longlist><@conj><_override
w18809	w18561	longlist><@conj><_override
w18820	w18561	longlist><@conj><_override
w18838	w18561	longlist><@conj><_override
#954
w18993	w19021	_override><@advcl
w19006	w18993	_override
w19017	w18993	_override
#966
w19261	w19259	@nmod
w19262	w19261	@appos
#988
w19686	w19711	_override><@obj
w19704	w19686	_override><@appos
#1005
w20089	_	_override
#1023
w20498	_	@advcl
w20500	_	CP
#1045
w20962	w20941	@appos
#1173
w23054	w23040	_override
